"gemeenten";"nieuwkomers per 1.000 inwoners 18+ jaar|2014";"nieuwkomers per 1.000 inwoners 18+ jaar|2015";"nieuwkomers per 1.000 inwoners 18+ jaar|2016";"nieuwkomers per 1.000 inwoners 18+ jaar|2017";"nieuwkomers per 1.000 inwoners 18+ jaar|2018";"nieuwkomers per 1.000 inwoners 18+ jaar|2019";"nieuwkomers per 1.000 inwoners 18+ jaar|2020";"nieuwkomers per 1.000 inwoners 18+ jaar|2021";"nieuwkomers per 1.000 inwoners 18+ jaar|2022";"nieuwkomers per 1.000 inwoners 18+ jaar|2023";"nieuwkomers per 1.000 inwoners 18+ jaar|2024"
"Ninove";2,7;3,7;6,5;5,3;4,6;5,3;5,1;4,8;4,3;5,2;5,3
"Olen";1,3;3,7;3,9;3,4;5,3;5,5;3,0;2,9;4,1;4,9;4,1
"Oostende";7,5;8,5;11,7;10,3;8,6;8,2;7,6;6,5;8,1;11,2;11,2
"Oosterzele";1,8;1,3;2,3;2,3;2,6;3,6;2,4;0,9;2,1;2,8;1,4
"Oostkamp";3,0;2,6;3,2;4,1;3,0;4,0;2,2;3,4;4,1;4,3;4,0
"Oostrozebeke";4,2;5,8;5,6;7,4;7,5;7,1;6,3;4,2;5,6;6,7;5,9
"Opwijk";1,5;2,3;4,8;2,8;3,4;5,8;3,5;4,1;2,9;4,7;4,5
"Oud-Heverlee";2,5;2,6;5,3;3,3;5,0;5,3;5,4;14,0;15,1;10,5;5,0
"Oud-Turnhout";4,4;4,1;4,6;4,3;5,2;7,2;5,4;4,0;8,0;8,5;8,7
"Oudenaarde";4,4;4,4;4,2;4,7;5,5;7,2;6,7;5,4;6,8;7,4;8,4
"Oudenburg";1,3;2,0;3,1;3,0;5,9;3,6;2,7;4,0;5,2;6,3;4,4
"Oudergem";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Oudsbergen";1,9;3,7;4,3;3,9;3,6;4,1;3,0;3,1;4,1;4,7;5,0
"Overijse";7,3;6,4;10,4;8,8;8,0;9,8;8,4;7,3;7,8;7,5;6,5
"Pajottegem";1,9;1,4;2,6;1,8;2,0;3,0;3,5;3,0;4,3;4,1;4,1
"Peer";2,1;2,8;3,1;2,3;2,6;3,4;3,2;3,1;3,9;4,9;4,1
"Pelt";8,5;7,6;10,3;6,8;9,0;9,7;7,9;8,2;11,6;13,7;11,4
"Pepingen";2,6;1,7;4,0;0,9;2,8;2,8;4,9;2,2;4,7;2,4;2,7
"Pittem";5,1;6,4;3,5;5,7;4,0;4,8;4,8;4,2;6,5;4,5;3,9
"Poperinge";1,9;1,3;3,5;3,0;3,8;3,6;2,9;2,9;3,7;3,2;3,4
"Putte";1,5;2,2;3,3;4,0;3,8;3,0;4,2;3,6;4,6;4,4;3,6
"Puurs-Sint-Amands";2,2;2,1;3,5;3,3;2,0;3,0;2,5;3,1;4,1;3,7;3,9
"Ranst";11,2;18,5;15,5;10,2;12,0;16,6;11,5;11,4;7,0;5,4;5,5
"Ravels";11,7;10,5;45,4;16,3;26,3;21,0;17,6;13,7;22,5;23,5;24,7
"Retie";5,2;4,5;16,9;7,3;7,5;7,8;6,1;4,7;8,9;8,8;8,5
"Riemst";10,7;11,5;12,0;12,1;10,9;11,4;9,9;6,2;9,9;11,9;10,7
"Rijkevorsel";5,7;3,9;6,4;8,7;9,4;7,3;6,7;6,6;8,7;12,7;8,1
